vertex_id,x_um,depth_um,potential_V,electric_field_mag_V_per_cm,Ex_V_per_cm,Ey_or_Ez_V_per_cm,net_doping_cm-3,donor_cm-3,acceptor_cm-3,phosphorus_like_cm-3,boron_like_cm-3,eMobility_cm2_per_Vs,hMobility_cm2_per_Vs,eVelocity_cm_per_s,hVelocity_cm_per_s
98,-48.6049779296875,-8.75,-33.12828620031514,141844.2656748952,141844.2656748698,0.08483643431334319,-2.711267997958047e+16,11202919821.90393,2.711269118250029e+16,11202919821.90393,2.711269118250029e+16,80.56728215405045,54.75313140167709,11435786.51115806,7724676.363927696
99,-48.6049779296875,-17.5,-33.12832967967856,141844.7340933744,141844.7340933685,-0.04121210461991098,-2.711268144585389e+16,11202922288.6673,2.711269264877618e+16,11202922288.6673,2.711269264877618e+16,80.56682551236256,54.75298130639556,11435781.97717742,7724687.061168746
100,-48.55507548828125,-26.25,-33.78407918407566,124808.1962208824,124808.1962208802,-0.02344808205880616,-1.713038790799605e+16,10394307610.23349,1.713039830230366e+16,10394307610.23349,1.713039830230366e+16,82.92415591629074,61.59147956935708,10334397.06032844,7665082.694554483
101,-48.50517304687499,-26.25,-34.37400543692182,114368.7970067598,114368.7970067571,-0.0245410580616131,-1.001678382858267e+16,10128791872.45466,1.001679395737455e+16,10128791872.45466,1.001679395737455e+16,88.74402858015219,66.80104997395277,10140136.11581883,7630412.085130493
102,-48.50517304687499,-35.0,-34.37401692414335,114368.900505553,114368.9005055528,-0.006964851641154074,-1.00167840502552e+16,10128791893.31887,1.001679417904709e+16,10128791893.31887,1.001679417904709e+16,88.74393994468682,66.80098983325773,10140136.18491971,7630412.876763582
103,-48.45527060546875,-35.0,-34.92554762606157,108389.1448940205,108389.1448940203,-0.00729514836144022,-5574017602190481.0,10052594038.29195,5574027654784520.0,10052594038.29195,5574027654784520.0,93.66456559765591,70.28511629814776,10149969.50400852,7614359.462992515
104,-48.45527060546875,-43.75000000000001,-34.92554857042171,108389.157260631,108389.157260631,1.190969561954061e-05,-5574017666350158.0,10052594040.7729,5574027718944200.0,10052594040.7729,5574027718944200.0,93.66454578197451,70.28510213975176,10149969.62778345,7614359.625599219
105,-48.4053681640625,-43.75000000000001,-35.45579452151436,105114.9239136637,105114.9239136637,-1.702927341319761e-05,-3005850056825392.0,10033788552.02433,3005860090613944.0,10033788552.02433,3005860090613944.0,96.62580033110638,72.40316622800341,10156854.44457521,7609080.630629575
106,-48.4053681640625,-52.5,-35.45579357329288,105114.9217130933,105114.9217130932,-0.005014388812269835,-3005850060267604.0,10033788552.04629,3005860094056156.0,10033788552.04629,3005860094056156.0,96.62578697637181,72.40315677180193,10156854.50474027,7609080.716251135
107,-48.35546572265625,-52.5,-35.97464587879667,103380.4441215677,103380.4441215676,-0.005257340226720005,-1583947472115742.0,10030041677.98583,1583957502157420.0,10030041677.98583,1583957502157420.0,98.31711929989433,73.609233044097,10164673.12549144,7608975.436593255
108,-48.35546572265625,-61.25,-35.97465585794545,103380.5315486889,103380.5315486053,-0.1314046871516209,-1583947413131150.0,10030041677.62867,1583957443172828.0,10030041677.62867,1583957443172828.0,98.31707025268327,73.60906579550738,10164682.01678106,7608972.125991434
109,-48.30556328125,-61.25,-36.48759130162529,102490.305001372,102490.305001285,-0.133568161255499,-818063614482249.2,10029630360.86823,818073644112610.1,10029630360.86823,818073644112610.1,99.23628279933116,74.26375995011605,10171402.27265725,7610837.773661422
110,-48.30556328125,-70.0,-36.48781346795872,102490.9797409414,102490.979736716,-0.9306603541223688,-818067870374069.4,10029630355.27816,818077900004424.6,10029630355.27816,818077900004424.6,99.12255119875203,74.18205194663639,10170266.87677842,7609926.790372202
