event_id,primary_charge_fC,preirradiation_reference_charge_fC,acceptor_sqrt_no_trapping_charge_fC,acceptor_direct_no_trapping_charge_fC,hybrid_sqrt_nominal_trapping_charge_fC,hybrid_direct_nominal_trapping_charge_fC,hybrid_direct_strong_trapping_charge_fC
4135,4.210982627348847,41.41823235032234,28.208716516803392,20.49283852056772,17.984919030173735,13.247367022156757,11.306256304859303
4136,0.6710058920331693,6.4566847888518355,4.403215953863522,3.203615161651922,2.7856205276981805,2.049065187609629,1.7422915787730133
4137,0.45415041347377355,4.3167495748325715,2.946052078096927,2.145261457006852,1.8560789624611165,1.3643932180244223,1.157410949401024
4138,0.47784029701977365,4.631773976133372,3.1573052889368594,2.2959797229228993,1.998097582298484,1.4692433584910731,1.2486022720083358
4139,0.9994334140440118,9.8410907031689,6.702035138221527,4.868475151334128,4.222322641815005,3.096516116196301,2.6257352183213123
4140,0.5486434678795589,5.350099135117435,3.6456534046394156,2.650015776982371,2.2938733554229898,1.682551475345849,1.4264438056077837
4141,0.6848714888238212,6.736854962400329,4.588244879086354,3.333209879128623,2.900106526782975,2.129514561782654,1.8094009705590037
4142,0.4749777696012496,4.674950747132556,3.183839666361734,2.3128626356921655,2.000304367190445,1.4655241409143789,1.2416612765639874
4143,0.8064772371947732,7.8204273166358655,5.330761585830058,3.876401798899335,3.3737276000202026,2.4807501408113706,2.1093777716610544
4144,0.575709472484763,5.61008392660735,3.8229712028366034,2.7790407902209324,2.41193996021914,1.7709662919377402,1.5038104033534188
4145,0.5107525533318905,4.875224709985539,3.3263405111477997,2.421470724473947,2.095337106951482,1.539746715620604,1.3061074719036163
4146,0.44811249700947164,4.363421340541026,2.973569373955906,2.1616935310438814,1.8614620014029775,1.3629699264586521,1.1558427047183097
4147,0.599796765086475,5.90890622020787,4.0239946027367,2.9229999270624956,2.525608290204556,1.8495971424482307,1.5692122246292812
4148,1.2626564645515432,12.315516340886896,8.391905936720224,6.099963574594231,5.341181491377932,3.933928012174306,3.353332110204068
4149,1.1067060244586233,10.892457102340764,7.418230899605118,5.388892430099099,4.703534530537517,3.457519942622815,2.9438357058853075
4150,0.48328257066128094,4.757039370899746,3.239727634468253,2.3534482501620104,2.0305019160917364,1.486326038526238,1.2604489860905423
4151,1.533949482460599,8.292944953995184,5.921607492023493,4.529857835890473,3.7257212155638912,2.8711864001218173,2.4310236188648924
4152,1.0843287274495725,10.434793364497757,7.11610388849658,5.177381564350374,4.516542031446169,3.326165791242859,2.8329595930711022
4153,1.0307918017287003,10.134472714496995,6.902444963730112,5.014567562192798,4.361869837582728,3.2027123991337163,2.7246380357633884
4154,0.601361540388745,5.812107811833207,3.9625866490239585,2.8821540336170584,2.5106837542456986,1.8472977198010783,1.5707725191578903
4155,0.7067669170425924,6.856726266208388,4.673731851566638,3.398518643012702,2.9675679810437012,2.184586588368434,1.8594329113911574
4156,0.874089666108015,8.620105908178783,5.869966533344641,4.263595492737772,3.693653797043353,2.7073413706519633,2.2993333129974114
4157,3.562272472938332,35.12509186000414,23.919064920427413,17.373563980804796,15.158383620481242,11.139443568040805,9.47971443952817
4158,0.527900593140556,5.083048108182958,3.466307948041987,2.521839996092403,2.1789755675920794,1.5990718875343233,1.3560146510879232
4159,1.150527458051012,11.354463370995596,7.7316521399668785,5.615549251997518,4.888652666390112,3.589364692853013,3.050327896859508
4160,0.5545880744894925,5.467437013906447,3.723193347404796,2.704368540896895,2.3294023701028523,1.7038435533969136,1.4425058010345688
4161,0.5755807703313655,5.484952017621106,3.742735478483814,2.724908480033605,2.3632057336236003,1.7382595716608147,1.4769402359845756
4162,0.49678895974031684,4.762766613009616,3.2487495261952626,2.364269382943655,2.0483788793635624,1.5053077364114236,1.2787890814999563
4163,0.561243723901709,5.510017159180166,3.753117396084553,2.726876644100311,2.3688829726673273,1.7387707627504967,1.4774231132534288
